"dive attack"
"amphibious"
"mucous cloud"
"probing telepathy"
"legendary"
"lair"
"dwarven resilience"
"incorporeal movement"
"keen hearing"
"keen sight"
"pack tactics"
"surprise attack"
"angelic weapons"
"innate spellcasting"
"magic resistance"
"divine awareness"
"antimagic"
"false"
""
"damage transfer"
"antimagic susceptibility"
"false appearance"
"charge"
"hold breath"
"swarm"
"antimagic cone"
"astral entity"
"demiplanar donjon"
"magic weapons"
"sever silver cord"
"negative energy aura"
"turn resistance aura"
"turning immunity"
"heated body"
"heated weapons"
"illumination"
"siege"
"resonant connection"
"shadow stealth"
"detect life"
"shapechanger"
"fire banishment"
"keen smell"
"barbed hide"
"devil's sight"
"steadfast"
"lightning blood"
"stunning gaze"
"death throes"
"aggressive"
"mimicry"
"spectral duplicate"
"normal spellcasting"
"bond of the black earth"
"unarmored defense"
"unarmored movement"
"death burst"
"aura of annihilation"
"death gazer"
"sunlight hypersensitivity"
"boggle oil"
"dimensional rift"
"uncanny smell"
"rejuvenation"
"brute"
"hearth of hruggek"
"standing leap"
"speak with frogs"
"speak with toads"
"swamp camouflage"
"summon specters"
"fiendish blessing"
"spider climb"
"stench"
"adhesive filament"
"flammable blood"
"fey ancestry"
"sunlight sensitivity"
"web sense"
"web walker"
"aberrant quickness"
"boneless"
"sense magic"
"evasion"
"light sensitivity"
"earth armor"
"corpses"
"stench of death"
"shielded mind"
"nondetection"
"pounce"
"spell turning"
"telepathic shroud"
"turn immunity"
"bonded mount"
"olhydra's armor"
"chilling mist"
"poor depth perception"
"death flash"
"death burn"
"echolocation"
"marshal undead"
"spellcasting"
"turn resistance"
"avoidance"
"legendary resistance"
"labyrinthine recall"
"reckless"
"two heads"
"undetectable"
"foul"
"regeneration"
"wand of orcus"
"master of undeath"
"rampage"
"amorphous"
"foment madness"
"fire aura"
"running leap"
"rotting presence"
"sure-footed"
"drone"
"violate corpse"
"reactive"
"assume form"
"demonic shadows"
"devour soul"
"crippling fear"
"contamination"
"corrupt water"
"undertow"
"dreadful"
"infernal despair"
"ventriloquism"
"fiery weapons"
"hellish weapons"
"immutable form"
"hellish rejuvenation"
"diabolical sense"
"infernal tack"
"cloud of vermin"
"hunger-driven"
"invisibility field"
"fear aura"
"magic weapon"
"flyby"
"limited spines"
"trampling charge"
"displacement"
"ambusher"
"temp"
"ice walk"
"dragon fanatic"
"fanatical advantage"
"fanatic advantage"
"limited flight"
"undead fortitude"
"change shape"
"war magic"
"battle command"
"discern lie"
"lolth's fickle favor"
"shadow step"
"speak with beasts"
"speak with plants"
"tree stride"
"duergar resilience"
"normal spellcasting (psionics)"
"psychic engine"
"engine of pain"
"siege monster"
"cavalry training"
"innate spellcasting (psionics)"
"create soulblade"
"cunning action"
"sneak attack"
"phalanx formation"
"sacred animation"
"ghostly inhabitant"
"inert"
"enchanting presence"
"fey step"
"joyful presence"
"fearsome presence"
"sorrowful presence"
"air form"
"living storm"
"partial freeze"
"water form"
"fiery death and rebirth"
"fire form"
"earth-shaking movement"
"water susceptibility"
"earth glide"
"freeze"
"flaming weapon"
"wreathed in flame"
"searing armor"
"shrapnel explosion"
"wakeful"
"superior invisibility"
"limited telepathy"
"imix's blessing"
"antimagic shell"
"flail tentacles"
"advanced telepathy"
"prone deficiency"
"shock susceptibility"
"eerie resemblance"
"rolling charge"
"elemental demise"
"boulder guise"
"ethereal sight"
"turning defiance"
"cold aura"
"water breathing"
"stable"
"fire absorption"
"dual shields"
"extra heads"
"vaprak's rage"
"mouth of madness"
"stone camouflage"
"dreamwalker's charm"
"aberrant ground"
"gibbering"
"headfirst charge"
"firearms knowledge"
"rally the troops"
"psychic defense"
"aura of blood thirst"
"gnome cunning"
"nimble escape"
"acid absorption"
"berserk"
"aversion of fire"
"lightning absorption"
"blind senses"
"poisonous skin"
"graystaff magic"
"horrific appearance"
